name; id; formula; acting in self-defence; acting on anger; action consequence; action timing; action type; age; chapter; final effect on offender; number of previous offences; offence avenged; offence impact; offence type; offence weight; offender status; page; previous offence; reaction effect; reaction force; restraint exercised; restraint rationale; restraint type; revenge timing; target match
Grettir startled by the witch; evernote:///view/2147483647/s94/5834a08a-7e4a-42c5-bed7-57ab4b0d9aed/5834a08a-7e4a-42c5-bed7-57ab4b0d9aed/; bregða við; 0; 0; 6; ; 7; 9; 78.0; 7; 0.0; 1; 3; 2; 4; 1; 169.9; 0; 5; 4; 1; 7; 4; 1; 
Grettir jabs back at Oddr (horse-fight episode); evernote:///view/2147483647/s94/f3520478-c33b-4e6e-b9cf-dcaa3b95b365/f3520478-c33b-4e6e-b9cf-dcaa3b95b365/; temper management; 1; 0; 2; 0; 7; 4; 29.0; 7; 1.0; 1; ; 5; 3; 2; 96.7; evernote:///view/2147483647/s94/71002a5a-ed25-4e4d-b9d3-1986e52046f7/71002a5a-ed25-4e4d-b9d3-1986e52046f7/; 5; 4; 1; 5; 2; 0; 1
Grettir reacts violently in self-defence (Ísafjǫrðr farmers); evernote:///view/2147483647/s94/43a09698-ae4a-466b-b5aa-b98efdde73fa/43a09698-ae4a-466b-b5aa-b98efdde73fa/; bregða við; 1; 0; 1; 0; 7; 7; 52.0; 5; 0.0; 1; 3; 5; 4; 1; 130.2; 0; 4; 4; 0; 0; 0; 0; 
Grettir ignores Bjǫrn’s bear boast; evernote:///view/2147483647/s94/18e4b6c9-8bf7-453a-a97f-1842c4c1d609/18e4b6c9-8bf7-453a-a97f-1842c4c1d609/; lét sem vita; 0; 0; 1; ; 0; 3; 21.0; 10; 0.5; 1; ; 2; 2; 2; 83.8; ; 0; 0; 1; 10; 7; 5; 
Grettir parries Skeggi’s reproach; evernote:///view/2147483647/s94/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/; self-control; 0; 0; 1; ; 5; 2; 16.0; 10; 0.5; 1; ; 2; 2; 1; 69.6; ; 0; 1; 1; 7; 4; 1; 
Grettir furious with the evil boy in Trondheim; evernote:///view/2147483647/s94/4998309f-f0d7-45fd-995b-0c896fee9b59/4998309f-f0d7-45fd-995b-0c896fee9b59/; verða skapfátt; 0; 1; 4; 1; 7; 6; 39.0; 5; 0.0; 1; 3; 3; 4; 1; 112.8; 0; 4; 3; 1; 4; 2; 1; 1
Grettir furious with farmers over stolen sheep; evernote:///view/2147483647/s94/3c6436bb-4956-4bd2-b1b5-22b0f75a0674/3c6436bb-4956-4bd2-b1b5-22b0f75a0674/; gera mjög hermt; 0; 1; 1; 0; 7; 8; 59.0; 5; 0.0; 1; 3; 0; 0; 1; 141.0; 0; 4; 4; 1; 4; 2; 0; 1
Grettir's greatest feat of temper; evernote:///view/2147483647/s94/3fe8813e-8ac1-4a9c-ba41-255f00ec989e/3fe8813e-8ac1-4a9c-ba41-255f00ec989e/; temper management; 0; 0; 1; ; 0; 7; 52.0; 0; 1.0; 0; 3; 6; 4; 1; 131.5; evernote:///view/2147483647/s94/43a09698-ae4a-466b-b5aa-b98efdde73fa/43a09698-ae4a-466b-b5aa-b98efdde73fa/; 0; 0; 1; 9; 7; 6; 
Bjǫrn’s dismissal of Grettir’s verse; evernote:///view/2147483647/s94/8728baa0-3b47-4dfc-8f4d-046931d54934/8728baa0-3b47-4dfc-8f4d-046931d54934/; temper management; 0; 0; 1; ; 0; 3; 21.0; 10; 4.5; 1; ; 2; 4; 2; 85.3; evernote:///view/2147483647/s94/7cbb0cd6-c8fe-494e-8daf-c86b45d20aa6/7cbb0cd6-c8fe-494e-8daf-c86b45d20aa6/; 0; 0; 1; 9; 6; 5; 
Grettir tries to provoke Barði; evernote:///view/2147483647/s94/aaccb2ba-3635-4139-81fc-bee06c2166f8/aaccb2ba-3635-4139-81fc-bee06c2166f8/; temper management; 0; 1; 1; 0; 6; 4; 31.0; 0; 1.0; 0; 2; 2; 3; 2; 99.5; evernote:///view/2147483647/s94/0a66f199-743c-4f76-a9f9-a903a2bbb3d1/0a66f199-743c-4f76-a9f9-a903a2bbb3d1/; 0; 1; 1; 7; 4; 6; 1
Snorri goði’s son challenges Grettir; evernote:///view/2147483647/s94/23ac17c1-1739-4cdd-bbba-b325955bbad0/23ac17c1-1739-4cdd-bbba-b325955bbad0/; temper management; 0; 0; 1; ; 5; 8; 68.0; 0; 1.0; 0; ; 3; 3; 2; 156.9; evernote:///view/2147483647/s94/9ac6a6c3-094b-4f1f-8af9-10601a5e1452/9ac6a6c3-094b-4f1f-8af9-10601a5e1452/; 0; 1; 1; 9; 4; 6; 
Grettir vs father (goslings); evernote:///view/2147483647/s94/18f90dd9-e3a4-466c-858c-f10bc60ff9db/18f90dd9-e3a4-466c-858c-f10bc60ff9db/; temper management; 0; 1; 2; 1; 3; 0; 14.0; 2; 0.5; 1; 2; 4; ; 3; 64.8; 1; 0; 1; 1; 3; 5; 1; 0
Grettir’s 2nd retort to Skeggi; evernote:///view/2147483647/s94/90a915f8-e772-4659-9980-f3ab66aa6214/90a915f8-e772-4659-9980-f3ab66aa6214/; self-control; 0; 0; 1; ; 5; 2; 16.0; 10; 1.5; 1; ; 2; 3; 1; 69.7; evernote:///view/2147483647/s94/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/; 0; 1; 1; 7; 4; 1; 
Grettir furious with goslings; evernote:///view/2147483647/s94/13cbd94f-e807-44cd-a02a-f6e3dfb9ef79/13cbd94f-e807-44cd-a02a-f6e3dfb9ef79/; gera mjög hermt; 0; 1; 2; 0; 8; 0; 14.0; 10; 0.0; 1; 3; 0; ; 0; 64.9; 0; 7; 4; 0; 0; 0; 1; 1
Grettir annoyed that fight with Mel people stopped; evernote:///view/2147483647/s94/6d1616de-75c7-405f-911a-cbd6d88f657e/6d1616de-75c7-405f-911a-cbd6d88f657e/; þykkja illa; 0; 0; 1; ; 0; 4; 30.0; 0; 0.0; 0; 1; 0; 2; 2; 98.2; 0; 0; 0; 1; 2; 6; 6; 
Grettir flays Kengála’s back; evernote:///view/2147483647/s94/0af65d51-67e7-4689-902d-8430655cb024/0af65d51-67e7-4689-902d-8430655cb024/; temper management; 0; 1; 2; 2; 8; 1; 14.0; 9; 0.5; 1; ; 3; ; 0; 66.5; 1; 6; 5; 1; 7; 6; 2; 1
Grettir ignores Bjǫrn’s bear provocation; evernote:///view/2147483647/s94/902ecf4d-5c1d-44ab-8ec5-9b20fcf72802/902ecf4d-5c1d-44ab-8ec5-9b20fcf72802/; self-control; 0; 0; 1; ; 0; 3; 21.0; 10; 2.5; 1; ; 3; 3; 2; 84.5; evernote:///view/2147483647/s94/ccd790b2-b585-4d0e-8cc1-219015b546ab/ccd790b2-b585-4d0e-8cc1-219015b546ab/; 0; 0; 1; 10; 7; 5; 
Grettir parries father’s insult; evernote:///view/2147483647/s94/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/; temper management; 0; 0; 1; ; 5; 0; 14.0; 4; 1.5; 1; 2; 2; 3; 3; 65.5; evernote:///view/2147483647/s94/18f90dd9-e3a4-466c-858c-f10bc60ff9db/18f90dd9-e3a4-466c-858c-f10bc60ff9db/; 0; 1; 1; 10; 4; 1; 
Grettir kills Þorbjǫrn the Traveller; evernote:///view/2147483647/s94/f17725d6-a267-4d72-a441-19512c646f0c/f17725d6-a267-4d72-a441-19512c646f0c/; temper management; 0; 0; 5; ; 8; 5; 37.0; 10; 4.5; 1; 3; 2; 4; 2; 109.8; evernote:///view/2147483647/s94/47ee58d1-d833-41ea-a23c-3363426ae221/47ee58d1-d833-41ea-a23c-3363426ae221/; 7; 5; 1; 6; 1; 2; 
Grettir annoyed by Barði’s prediction; evernote:///view/2147483647/s94/9a6edc6c-4fd7-4783-bee7-23c1ff67d504/9a6edc6c-4fd7-4783-bee7-23c1ff67d504/; þykkja illa; 0; 0; 1; ; 0; 4; 31.0; 0; 2.0; 0; 2; 2; 2; 2; 99.7; evernote:///view/2147483647/s94/0a66f199-743c-4f76-a9f9-a903a2bbb3d1/0a66f199-743c-4f76-a9f9-a903a2bbb3d1/; 0; 0; 1; 2; 6; 6; 
Grettir’s barbed verse on Bjǫrn; evernote:///view/2147483647/s94/7cbb0cd6-c8fe-494e-8daf-c86b45d20aa6/7cbb0cd6-c8fe-494e-8daf-c86b45d20aa6/; temper management; 0; 1; 1; 2; 6; 3; 21.0; 10; 3.5; 1; 3; 2; 4; 2; 85.1; evernote:///view/2147483647/s94/902ecf4d-5c1d-44ab-8ec5-9b20fcf72802/902ecf4d-5c1d-44ab-8ec5-9b20fcf72802/; 0; 2; 1; 9; 4; 5; 1
Snorri goði’s son attacks Grettir; evernote:///view/2147483647/s94/00964167-c2f2-432f-91c4-7886d360ff51/00964167-c2f2-432f-91c4-7886d360ff51/; temper management; 1; 0; 0; 0; 4; 8; 68.0; 0; 2.0; 0; ; 6; 4; 2; 157.0; evernote:///view/2147483647/s94/23ac17c1-1739-4cdd-bbba-b325955bbad0/23ac17c1-1739-4cdd-bbba-b325955bbad0/; 0; 3; 1; 9; 2; 6; 1
Grettir resists Snorri goði’s son’s provocation; evernote:///view/2147483647/s94/9ac6a6c3-094b-4f1f-8af9-10601a5e1452/9ac6a6c3-094b-4f1f-8af9-10601a5e1452/; temper management; 0; 0; 1; ; 5; 8; 68.0; 0; 0.0; 0; ; 3; 3; 2; 156.8; 0; 0; 1; 1; 9; 4; 6; 
Grettir’s reaction to Gísli’s boast; evernote:///view/2147483647/s94/9fe3d7a7-a322-4c61-90f0-2c3e963fef6f/9fe3d7a7-a322-4c61-90f0-2c3e963fef6f/; X glotti að/við og gaf sér ekki/fátt; 0; 0; 1; ; 1; 8; 59.0; 6; 0.5; 1; 2; 2; 4; 2; 141.5; 0; 0; 0; 1; 8; 3; 4; 
Bjǫrn’s ‘challenge’ to Grettir; evernote:///view/2147483647/s94/b658c774-18e2-4d89-8035-66969ae23eba/b658c774-18e2-4d89-8035-66969ae23eba/; temper management; 0; 0; 1; ; 5; 3; 21.0; 10; 5.5; 1; 3; 3; 4; 2; 85.5; evernote:///view/2147483647/s94/8728baa0-3b47-4dfc-8f4d-046931d54934/8728baa0-3b47-4dfc-8f4d-046931d54934/; 0; 1; 1; 9; 4; 5; 
